flight_no,departure_airport,arrival_airport,departure_airport_name,actual_arrival
SU1000,SVO,LED,Шереметьево,2024-01-15 14:30:00
SU1001,DME,LED,Домодедово,2024-01-15 13:45:00
SU1002,VKO,LED,Внуково,2024-01-15 12:15:00
SU1003,SVO,AER,Шереметьево,2024-01-15 11:20:00
SU1004,DME,AER,Домодедово,2024-01-15 10:35:00
SU1005,VKO,OVB,Внуково,2024-01-15 09:50:00
SU1006,SVO,KZN,Шереметьево,2024-01-15 09:05:00
SU1007,DME,KZN,Домодедово,2024-01-15 08:20:00
SU1008,VKO,ROV,Внуково,2024-01-15 07:45:00
SU1009,SVO,ROV,Шереметьево,2024-01-15 07:00:00
SU1010,DME,SIP,Домодедово,2024-01-15 06:15:00
SU1011,VKO,SIP,Внуково,2024-01-15 05:30:00
SU1012,SVO,MRV,Шереметьево,2024-01-15 04:45:00
SU1013,DME,MRV,Домодедово,2024-01-15 04:00:00
SU1014,VKO,GOJ,Внуково,2024-01-15 03:15:00
SU1015,SVO,GOJ,Шереметьево,2024-01-15 02:30:00
SU1016,DME,KRR,Домодедово,2024-01-15 01:45:00
SU1017,VKO,KRR,Внуково,2024-01-15 01:00:00
SU1018,SVO,OMS,Шереметьево,2024-01-15 00:15:00
SU1019,DME,OMS,Домодедово,2024-01-14 23:30:00
